,name,age,anual_salary,credit_card_number,credit_score,credit_limitation,transaction_status,partial_payment,credit_balance
3019,Omenuke Mfulu,48,873900,3344149847236953,207,2110544,1451400,1451400,0
3020,Sven Michel,27,2063800,7671579696788822,164,2695861,526808,52681,474127
3021,Peter Michorl,33,3856600,7539253029320637,338,5620759,1747221,17473,1729748
3022,Sven Mijnans,50,4358000,5807979406165723,461,7022730,3572409,0,3572409
3023,Salvador Agra,47,1377400,6016813857915693,256,2920993,1946862,1946862,0
3024,Martin Minchev,66,1273700,9968781073553102,418,4117708,1978205,1978205,0
3025,Jorge Miramón,67,4116900,6220510844905392,626,8239580,6323991,632400,5691591
3026,Alexandru Mitriță,58,2714200,4008406201788920,444,5369523,2731222,0,2731222
3027,Niklas Moisander,64,3539000,7359479492574394,571,6883502,1058958,0,1058958
3028,Thomas Monconduit,60,4287700,9780185032778731,627,8455064,4809969,0,4809969
3029,Brian Montenegro,40,2681500,8566697832980776,381,4959085,4747767,474777,4272990
3030,Shaquell Moore,30,774700,8011755381524592,103,1197776,447053,0,447053
3031,Tete Morente,42,4616600,7177360225767607,468,6959573,4365192,436520,3928672
3032,Ilaix Moriba,35,3245000,9288168703059450,303,4994223,3336213,334,3335879
3033,Ryota Morioka,53,4597000,8343396166106459,553,7413736,2608723,0,2608723
3034,Carlton Morris,23,4293800,3534442947564197,351,6036975,4613042,4613042,0
3035,Jordan Morris,65,1263200,7605709171208718,377,3846355,2379706,0,2379706
3036,Patrick Mortensen,47,4367800,9729164436266471,431,6702211,834452,834452,0
3037,Steve Mounié,35,3148200,4284207648584073,344,4983811,2295462,229547,2065915
3038,Toni Moya,57,1481800,3174010283639575,346,3790784,1302826,13029,1289797
3039,Kerim Mrabti,52,985700,4678497673742371,266,2525282,1484271,0,1484271
3040,Stefan Mugoša,45,1037100,3701755969839421,235,2424431,2414540,241454,2173086
3041,Mert Müldür,63,1586600,5452573475663296,364,3739903,750269,75027,675242
3042,Florian Müller,36,1646300,5731194835073525,186,2648385,452817,453,452364
3043,Facundo Mura,33,2105000,9037805340611509,251,3682045,1400070,140007,1260063
3044,Michael Murillo,69,311500,5159646293795905,305,2276853,2254067,0,2254067
3045,Nyasha Mushekwi,64,3080200,3596463740465439,522,6358769,3187544,3188,3184356
3046,Florent Muslija,24,2501700,7417524638496272,254,3915332,3561111,3562,3557549
3047,Bogdan Mykhailichenko,69,1985200,8777516586124724,455,4745963,4069487,40695,4028792
3048,Ádám Nagy,64,3354000,9813019507987923,516,6129671,2049252,0,2049252
3049,Rúben Vinagre,23,466300,7568650533755728,63,557399,151013,0,151013
3050,Wilson Eduardo,51,1592300,4890158944688795,314,3469387,1240003,0,1240003
3051,Franco Negri,63,1816400,3808526058772333,391,4024343,1152633,115264,1037369
3052,Tokmac Chol Nguen,32,3309400,6309155191136611,334,4925945,1792678,1792678,0
3053,Cheikh Niasse,52,320500,3797265306631691,177,1383541,781844,0,781844
3054,Florian Niederlechner,66,3773900,4227361192216060,599,7504833,394787,0,394787
3055,Dimitrios Nikolaou,49,2822200,4242497901836674,384,5130593,3297703,3297703,0
3056,Joakim Nilsson,50,1972500,5356049918227712,387,4622910,2134985,214,2134771
3057,Kevin Nisbet,61,2992400,8110377069439494,533,6262556,486098,48610,437488
3058,Kristoffer Nordfeldt,26,3515500,5696959861324541,345,5244456,4137294,0,4137294
3059,Vital Nsimba,70,1491900,7839347559675332,409,4125132,3439439,34395,3405044
3060,Stanley Nsoki,51,2753900,3397486134828421,399,5415805,3150981,0,3150981
3061,Ernest Nuamah,38,3751400,4747622192085659,365,5769608,1860012,1860012,0
3062,Bram Nuytinck,29,1607100,6077123859403440,171,2322125,1715556,172,1715384
3063,Kelechi Nwakali,42,489800,6309510472489227,149,1353608,182717,18272,164445
3064,Obinna Nwobodo,32,536900,6406852565211169,91,889599,742620,0,742620
3065,Lewis O'Brien,45,715500,9352044389015184,156,1507885,1154490,1155,1153335
3066,Callum O'Hare,66,1397200,7774741270469921,354,3627112,3061990,3061990,0
3067,Dara O'Shea,53,693300,9201886618983309,212,2006099,550984,0,550984
3068,Pedro Obiang,38,4507000,3168879514993624,460,7546013,6606364,0,6606364
3069,Brian Ocampo,49,2083500,8207856845423439,344,3874273,3465096,0,3465096
3070,Denis Odoi,27,4417000,8777932639623696,416,6542720,909861,0,909861
3071,Ahmet Oğuz,35,2071400,8868129259710042,277,3906033,2572388,2572388,0
3072,Caleb Okoli,61,3777900,6281020653463033,583,7399192,2817446,0,2817446
3073,Jean Mota,35,3845900,6941814515227529,394,5714273,711611,7117,704494
3074,Patrick Osterhage,62,2598000,9945322708825644,414,5383980,1843516,184352,1659164
3075,Romulo Otero,67,4426200,5802962700634445,620,8595108,3929230,0,3929230
3076,Dango Ouattara,31,1110300,4428415517250640,141,1709909,915523,0,915523
3077,Rémi Oudin,48,2502700,3138816150196539,399,5126870,363435,3635,359800
3078,Aiham Ousou,47,3374200,9468405352747699,451,6132709,5466813,5467,5461346
3079,Thomas Ouwejan,53,2032700,8780423005295444,382,4512218,391786,3918,387868
3080,Ertaç Özbir,26,3474100,6614114939363661,323,5261529,4713701,4714,4708987
3081,Berkay Özcan,62,442800,7593691744111323,286,2501437,2268701,226871,2041830
3082,Cenk Özkacar,38,4405800,6572450234112575,394,6504074,5126540,0,5126540
3083,Diego Palacios,46,761100,8117565228599925,192,1824396,756735,75674,681061
3084,Antonio Palumbo,56,4201600,6717838781017349,536,7832613,6835439,68355,6767084
3085,Ivor Pandur,23,4048900,6352764861161999,336,5579934,4329338,43294,4286044
3086,Keaton Parks,66,4148400,3741009601294945,629,8688815,4445171,44452,4400719
3087,Pablo Parra,29,2811500,7470578941763931,247,3905023,498702,0,498702
3088,Jamie Paterson,44,2100300,6142662805901755,261,3798331,294807,2949,291858
3089,Nathan Patterson,46,487100,8125207909662846,188,1501405,1268628,127,1268501
3090,Esteban Pavez,44,2365500,9147480519675377,328,4573591,3546587,3546587,0
3091,Ben Pearson,62,2974900,5788025891629640,502,5926040,4998733,500,4998233
3092,Mads Pedersen,30,1487100,5133234914440841,192,2653513,604487,60449,544038
3093,Sebastián Pedroza,38,1655600,7553094096667275,233,2918976,1910605,192,1910413
3094,Dimitrios Pelkas,68,2133200,6259009124813010,465,5092527,3623492,3623492,0
3095,Cristian Pellerano,54,1046100,9977270428684339,236,2365311,286289,28629,257660
3096,Andy Pelmard,68,3404500,7022861032393967,518,7027917,6972776,6973,6965803
3097,Alberto Perea,49,3663300,5011834847977119,477,6064317,191840,191840,0
3098,Federico Pereira,62,994900,4806941102450582,327,3280877,2106079,211,2105868
3099,Mathias Pereira Lage,66,803500,8133151040882120,340,2916165,1903771,1903771,0
3100,Gastón Pereiro,37,1052200,9793542356603216,142,1587162,648488,649,647839
3101,Mario Gaspar,42,624200,8798899243497368,138,1294345,211633,0,211633
3102,Dino Perić,31,2843700,4043834732342519,297,4441209,1901100,0,1901100
3103,Baldomero Perlaza,67,752900,3196884033061390,307,2760712,951711,95172,856539
3104,Luděk Pernica,48,881900,6890522278160729,216,2136995,766337,767,765570
3105,Immanuel Pherai,25,1409600,3851705145926167,114,1792175,209864,20987,188877
3106,Pablo Piatti,45,1794100,5586893607194370,261,3564923,2858709,285871,2572838
3107,Carlo Pinsoglio,36,617000,8214886796039726,125,1201605,881852,882,880970
3108,Miguel Veloso,40,1845100,7943438634732432,225,2815201,1604509,0,1604509
3109,Srđan Plavšić,29,2431100,8289136489629096,228,3392065,564469,5645,558824
3110,Lukas Podolski,46,1215200,9819592590812528,245,2510258,1944213,19443,1924770
3111,Diego Polenta,56,3158500,5702189521448477,430,5422874,4760310,4761,4755549
3112,Sebastian Polter,50,3275900,6517984865926277,453,5693214,699671,69968,629703
3113,Julien Ponceau,63,1925200,5970698300442671,401,4450638,406786,0,406786
3114,Luciano Pons,49,1613000,5028206557396353,304,3365871,759386,760,758626
3115,Juan Portillo,22,1612400,4194138872762706,134,2067897,177874,0,177874
3116,Samuel Portugal,46,2628800,6818839497493610,362,4559390,1085064,108507,976557
3117,José Pozo,22,3979300,4833576736709581,317,5611786,1439172,1440,1437732
3118,Álex Pozo,67,499000,6246403632042207,299,2496217,1798182,180,1798002
3119,Alan Pulido,58,3613500,3846343363693023,486,5990423,2549372,2550,2546822
3120,Mateus Quaresma,42,3672500,5688761254885293,459,6034172,234746,2348,232398
3121,Luquinha,41,1846600,5387760052675378,255,3373404,1302350,1303,1301047
3122,Facundo Quignon,41,3938400,4880041642769504,375,5386827,361451,36146,325305
3123,Jordi Quintillà,45,1922800,5250243275569484,282,3618106,3093558,3093558,0
3124,Nemanja Radoja,26,1718400,9979366385867052,155,2160134,773255,7733,765522
3125,Ionuț Andrei Radu,42,4491100,8465981622319805,533,7769213,7108468,710847,6397621
3126,Carlos Ramírez,25,2858200,5566117727746435,249,4310337,1663796,16638,1647158
3127,Darren Randolph,49,2733600,8588471814420166,415,5211722,1936360,1937,1934423
3128,Luca Ranieri,47,4374600,8359553123901729,497,6894303,6154856,0,6154856
3129,Elbasan Rashani,32,999100,4578947987766062,141,1660112,1480028,0,1480028
3130,Nicolás Ratti,68,4120500,4339063719375475,642,8225077,1105852,0,1105852
3131,Arkadiusz Reca,49,3333200,8616741609891759,487,6233241,453747,0,453747
3132,Jason,37,1822500,5990029380906782,217,2941362,1440243,0,1440243
3133,Emiliano Rigoni,35,738100,8277594896942678,136,1412026,29043,0,29043
3134,Matt Ritchie,46,3458500,8703043297268971,427,5843250,4254017,426,4253591
3135,Jack Robinson,41,1662100,7591663257155687,257,2979514,744904,0,744904
3136,Miles Robinson,57,3227200,9858298171681724,460,6140732,5939843,5939843,0
3137,Enzo Roco,47,2980200,4789077443026726,367,5005050,3272258,0,3272258
3138,Angelo Rodríguez,48,2064300,9446756667699708,367,4273461,2639054,2640,2636414
3139,Santiago Rodríguez,43,584300,5140378943424661,161,1379738,187145,1872,185273
3140,Juan Gabriel Rodríguez,45,2108400,9685123881145162,323,4250343,1874220,188,1874032
3141,Ángel,66,2077200,8644069944382422,385,4893636,1659645,1660,1657985
3142,Yoel,62,2605500,3223494446999640,441,5591271,5344511,5345,5339166
3143,Zaid Romero,58,2317200,8740516105983473,456,5251150,2988708,298871,2689837
3144,Facundo Roncaglia,33,1651900,9190338454599070,205,2607731,2232142,0,2232142
3145,Eloy Room,43,806200,4325045619993343,187,1837246,396922,0,396922
3146,Lazaros Rota,63,4664200,7180730956500556,579,8402785,5968479,597,5967882
3147,Johnny Russell,35,1591500,7140193066211873,227,3083159,1217492,122,1217370
3148,Pablo Sabbag,50,1801900,7342467031826502,344,3920082,719961,71997,647964
3149,Mujaid,32,1327100,9079086993261947,154,2070249,1638381,0,1638381
3150,Osame Sahraoui,48,1960100,3055939143397503,324,3866650,2600300,2600300,0
3151,Fashion Sakala,63,3627000,8059790381256239,467,6873443,5477310,5478,5471832
3152,Tatsuhiro Sakamoto,50,2400000,6265932447999708,375,4423284,2845224,2845224,0
3153,Dániel Sallói,42,1099000,3494672878815127,230,2217631,1437339,0,1437339
3154,Yoann Salmier,27,3666700,3584414639392503,346,5382411,3612127,0,3612127
3155,Mbwana Ally Samatta,44,4879900,6340038629211151,520,8078210,7437739,744,7436995
3156,San Emeterio,28,1319200,4804453195112064,162,2046425,1127893,1127893,0
3157,Adrián,64,746000,5787406855940782,295,2497223,1873566,1874,1871692
3158,Ulises Sanchez,60,434400,7452785987619772,266,2008141,525543,5256,520287
3159,Antonio Sánchez,47,4410200,7192670064086561,505,7459329,1370309,13704,1356605
3160,Kevin Sandoval,43,1322300,5033249111684996,241,2681471,1065935,107,1065828
3161,Carlinhos,26,4925100,6800755188302963,369,6810563,4695578,0,4695578
3162,Ivo Rodrigues,35,1171300,8251133217837234,142,1794353,1222356,122236,1100120
3163,Josh Sargent,63,3082500,4038790933344352,495,6304269,5224986,523,5224463
3164,Manprit Sarkaria,60,3705800,7140229138314407,488,6665967,832797,833,831964
3165,Pape Matar Sarr,61,2709300,3244905357527540,478,5788963,5787829,5788,5782041
3166,Martín Satriano,70,2176100,6581596690147153,479,5650866,5287768,5287768,0
3167,Kevin Schade,37,620100,4128897373335688,150,1334090,278883,0,278883
3168,András Schäfer,24,4606000,6259787435501803,347,6339851,1149819,1149819,0
3169,Louis Schaub,60,4794300,4936874928692354,677,9265366,5320059,5321,5314738
3170,Christopher Schindler,28,3030400,9319544748495011,277,4449815,966406,0,966406
3171,Keven Schlotterbeck,42,3028900,9016590391337435,379,4916564,3465306,34654,3430652
3172,Sebastian Schonlau,64,1980300,7804232559571653,448,4897784,3504028,35041,3468987
3173,Siebe Schrijvers,36,2833500,3840304429432149,333,4962612,1720198,172020,1548178
3174,Alex Scott,32,4683400,3321970628684565,445,6845410,2430888,244,2430644
3175,Paul Seguin,23,3400400,7506278254574279,268,4585746,2012835,2013,2010822
3176,Alidu Seidu,48,1990400,3439154455625740,349,4312648,583750,584,583166
3177,Bruno Varela,67,680000,4562321561542760,326,2880088,1307679,130768,1176911
3178,Jaime Seoane,69,3128400,9078914375143459,495,6453305,2175022,0,2175022
3179,Jean Michaël Seri,31,3037600,4278024667229097,317,5138992,4126633,413,4126220
3180,Leonardo Sernicola,29,3724600,8535818941454704,358,5799283,3098148,0,3098148
3181,Volodymyr Shepelev,68,1594700,8554242622004642,438,4584577,2202043,2202043,0
3182,Eldor Shomurodov,40,2662000,3954301799752346,317,4376501,3007995,0,3007995
3183,Óscar Sielva,33,792900,9257077273034815,162,1564354,562195,563,561632
3184,Carlos Sierra,25,4650900,6912015242840988,333,6789269,5924201,5925,5918276
3185,Francisco Sierralta,26,3792100,9452955663024034,351,5537263,4249282,4249282,0
3186,Kiliann Sildillia,35,2350200,5827889127145830,262,3729386,3043391,30434,3012957
3187,Jonathan Silva,58,3760700,9664216324873009,546,7643287,6751949,676,6751273
3188,Giuliano Simeone,49,4646100,7474793786374328,504,7516118,6489705,6489705,0
3189,Daley Sinkgraven,70,4916300,9276448527438150,669,8648178,8236087,824,8235263
3190,Mile Škorić,43,4302400,3791145508999941,455,7232970,23653,237,23416
3191,Steven Skrzybski,48,1725700,5186266514443131,292,3525718,459071,45908,413163
3192,Marcel Sobottka,30,3471500,3676798063861354,325,5171281,2553684,2554,2551130
3193,Serginho,68,1817500,6581408103486719,423,4456847,4068509,406851,3661658
3194,Yuki Soma,52,4552200,4890646998652524,534,8123414,7086529,7087,7079442
3195,Juan Soriano,45,619400,4915992522234470,177,1576146,1131241,113125,1018116
3196,José Sosa,56,4098100,3363484577774816,542,7714903,3023026,30231,2992795
3197,Dario Špikić,34,3901400,7086399098046181,362,5466314,2568395,2569,2565826
3198,Ross Stewart,34,3682500,4283319021998506,391,6109656,3233144,323315,2909829
3199,Filip Stojković,36,3987600,5446339502797564,376,5840198,508112,0,508112
3200,Jordan Storey,54,4031400,9880000569937160,479,6668264,1552838,156,1552682
3201,Stefan Strandberg,64,2383400,9359098578403825,420,5036654,1504840,0,1504840
3202,Róber,69,680200,8007707077625689,321,2842796,290493,290493,0
3203,Gabriel Suazo,57,1702500,6402038704916555,344,3497682,2557712,2558,2555154
3204,Boško Šutalo,61,1961100,3591716751958343,389,4601671,3028336,30284,2998052
3205,Morlaye Sylla,47,4234800,4025941572831600,468,6964875,2278825,228,2278597
3206,Tan Long,37,1163800,7783150927140523,162,2011577,827401,0,827401
3207,Ao Tanaka,68,3487100,6381203343925027,582,7262047,5003800,50038,4953762
3208,Florian Tardieu,59,2645800,4635609269526824,432,5429352,3435071,0,3435071
3209,Cristian Tarragona,57,1747400,9521561243921367,373,4193640,3722015,3722015,0
3210,Júlio Tavares,22,2823900,9344365090041865,232,3697800,3603933,360394,3243539
3211,Léandre Tawamba,56,4638700,8967769749117422,560,8728810,4012424,0,4012424
3212,Álvaro Tejero,66,1579700,3087416755795320,431,4345004,2040533,0,2040533
3213,Aleksa Terzić,59,2092200,6076725586626779,394,4650447,3276727,3276727,0
3214,Cedric Teuchert,32,2748300,3925904364078644,271,4561083,847428,848,846580
3215,Mame Thiam,56,3324900,4398243047694997,497,6568373,6319390,63194,6256196
3216,Jan Thielmann,26,435600,8632334337637422,77,681470,353403,0,353403
3217,Romain Thomas,32,3656900,8354886982357424,343,5047651,2900614,2900614,0
3218,Phillip Tietz,36,510500,5074385286729981,119,1062779,506163,0,506163
3219,Jeremy Toljan,66,750400,7068870407944554,297,2594872,363785,364,363421
3220,James Tomkins,53,1920400,6659454643373828,335,4212051,610000,0,610000
3221,Daniel Torres,59,886500,8626014673298494,332,3090911,2266828,0,2266828
3222,Ibrahim Traoré,59,2244900,9480309634292744,443,5299679,2501292,251,2501041
3223,Miguel Trauco,31,3413900,5012173254764904,362,5019829,4236504,0,4236504
3224,Lewis Travis,64,3641500,7762720971126281,515,6757642,6153700,615370,5538330
3225,Nicolás Tripichio,23,4359300,7585029939393666,374,6717836,4582743,0,4582743
3226,Fran Tudor,32,2784800,9255334138423043,320,4799847,3855648,386,3855262
3227,Ozan Tufan,66,1717300,5539033826003969,383,3820398,1240951,1241,1239710
3228,Stefano Turati,26,4573500,4031076944077590,443,7341284,5372571,53726,5318845
3229,Oleksandr Tymchyk,32,831400,5618128851413311,138,1498446,491637,4917,486720
3230,Andreas Ulmer,32,4063300,5223765077142104,386,5987168,713458,71346,642112
3231,Filip Uremović,36,1594600,4499625429138873,174,2355537,533297,533297,0
3232,Nuno Santos,56,409200,7030360706035508,212,1812331,1002764,101,1002663
3233,Nicolás Valentini,68,3524700,9875259742453087,547,7430951,107913,108,107805
3234,Alex Valera,65,635200,6002704521306870,313,2638746,1311108,132,1310976
3235,Sepp van den Berg,63,4738300,5488609780165999,629,9064866,7150536,7151,7143385
3236,Siebe Van der Heyden,47,4956200,9571484851544720,561,9098037,6865445,0,6865445
3237,Mike van der Hoorn,45,2000700,8117888348872640,283,3601892,2277532,22776,2254756
3238,Marco van Ginkel,50,4990000,3688031198047685,515,7536164,1270227,12703,1257524
3239,Sydney van Hooijdonk,47,2033200,8659911862430918,333,4122039,1039070,0,1039070
3240,Ricky van Wolfswinkel,64,4084800,6452051404366143,544,7094295,2073276,208,2073068
3241,Matías Vargas,57,390700,6744826618831660,246,1987471,1525648,152565,1373083
3242,Lorenzo Venuti,53,4047100,6334473700586565,485,6819930,61642,6165,55477
3243,Benjamin Verbič,53,3622300,8688759186078448,525,6341560,6184238,619,6183619
3244,Daniele Verde,51,462000,9683910332756900,210,1847217,1442353,144236,1298117
3245,Arthur Vermeeren,32,3909800,8462665383539405,374,5982731,2221860,223,2221637
3246,Yorbe Vertessen,51,2059200,9794951103435881,349,4214006,1058641,106,1058535
3247,Hugo Vetlesen,70,4991400,6417435870864949,653,9191211,2988687,299,2988388
3248,Francesco Vicari,49,4917400,4309921233276253,606,8243908,5833887,0,5833887
3249,Emanuel Vignato,57,697200,3103604992786484,263,2264773,1754297,17543,1736754
3250,Héctor Villalba,35,4500200,5930493507457999,424,6589886,5512506,551251,4961255
3251,Mattia Viti,47,1404200,6925975264245957,297,3258213,1374500,137450,1237050
3252,Mërgim Vojvoda,59,3789600,3869473301150199,480,6809183,6779833,678,6779155
3253,Patrik Wålemark,23,763800,3539711665609304,88,968018,924175,924175,0
3254,Marcelo Weigandt,46,1132600,7704711977332153,233,2657960,1153646,116,1153530
3255,Gaëtan Weissbeck,53,1213700,5585912472511760,293,2920110,530278,0,530278
3256,Timon Wellenreuther,68,320200,4893162796829676,343,2580526,2031674,2032,2029642
3257,Ashley Westwood,41,1227800,6110573335340163,221,2452130,586450,0,586450
3258,Mateusz Wieteska,25,1103700,3267577358521214,91,1438797,478283,478283,0
3259,Brandon Williams,29,4648000,3320987050629830,447,7446937,4717563,471757,4245806
3260,Chris Willock,22,2497900,5480902207922144,237,3428778,84735,0,84735
3261,Cláudio Winck,26,4065800,4228329712954125,367,5874613,1332019,1332019,0
3262,Christopher Wooh,22,4382300,8829250807218550,340,6366504,3763370,0,3763370
3263,Wu Lei,68,2092200,5655108742737529,421,4655801,2530507,254,2530253
3264,Gregory Wüthrich,28,4420700,3515177497528027,436,6987292,3170004,0,3170004
3265,Yan Junling,40,4652200,5835148674542729,477,6969274,421704,4218,417486
3266,Roman Yaremchuk,52,4933200,5562310026157861,614,8972737,2382623,2382623,0
3267,Barış Alper Yılmaz,64,4289100,5340148179270703,611,8819178,4503468,4504,4498964
3268,İsmail Yüksek,60,4137100,3775788303706061,571,7673685,1699853,1699853,0
3269,Alhassan Yusuf,41,3494400,9265042669205350,373,5412966,3264777,326478,2938299
3270,Luca Zanimacchia,28,898700,8377998186008598,125,1411004,1072687,10727,1061960
3271,Cristian Zapata,58,1709100,5287853326013061,375,4141129,1049026,1050,1047976
3272,Giovanni Zaro,22,920800,5512624708758797,55,828873,107487,0,107487
3273,Arbër Zeneli,34,4385000,4327200928549396,446,7396585,5107724,51078,5056646
3274,Matthias Zimmermann,58,2524300,7086005520278484,410,5311817,4918833,0,4918833
3275,Simon Zoller,40,4989300,4600301148818178,481,8166856,5375356,53754,5321602
3276,Peter Žulj,35,2070100,6083952972998968,222,3209922,1053075,10531,1042544
3277,Ali Abdi,61,1463000,6575961777449783,365,3912409,1696650,1696650,0
3278,Ramón Ábila,32,716900,5743637212096240,91,1030293,378607,37861,340746
3279,Mohammed Abu Fani,56,4321000,9285531617931387,546,7776622,5333653,533366,4800287
3280,Bryan Acosta,66,1932000,6981581353706590,430,4768123,3302311,0,3302311
3281,Bismark Adjei-Boateng,63,2063900,9920957209481473,460,5245969,3932690,0,3932690
3282,Felix Afena-Gyan,37,878600,7594003201226732,161,1823839,1659301,1659301,0
3283,Lucien Agoumé,55,4292000,5581110321849089,516,7117613,3801375,38014,3763361
3284,Alan Aguerre,29,1754000,4197551193220538,193,2554984,262002,0,262002
3285,Emanuel Aguilera,56,4566900,7946593874045524,613,9134566,6455777,6455777,0
3286,Juan Felipe Aguirre,54,3538300,5177277933192247,432,5508592,1087997,108800,979197
3287,Firas Al Birekan,69,1491600,7375531169142260,384,4117579,2961043,0,2961043
3288,Ali Al Bulayhi,32,571300,3174263678845648,100,1020489,381056,3811,377245
3289,Abdullah Al Mayoof,69,584600,3308996088426324,328,2612069,2588917,25890,2563027
3290,Yasser Al Shahrani,70,2041900,4222485295825571,435,4760172,1622027,1622027,0
3291,Gabriel Alanís,23,2613000,4714799815118015,209,3721234,2444566,0,2444566
3292,Christos Albanis,64,1243800,6718554919450918,305,3004359,542766,542766,0
3293,Antolín Alcáraz,58,3525900,5564840791578637,502,7001342,6920364,6921,6913443
3294,Romain Alessandrini,34,2375100,5315537859672451,267,3547789,2009329,2009329,0
3295,Oberdan,64,3074400,6330184067183630,528,6585309,2618690,262,2618428
3296,Ignacio Aliseda,44,4344400,8436199243118669,476,7518602,5268319,526832,4741487
3297,Tadeo Allende,37,4646100,9785113991107511,430,6899908,588549,588549,0
3298,Miguel Lopes,33,4617900,9255249521692621,444,7402428,1349394,1349394,0
3299,João Pedro,37,3195700,6775950751444809,331,5107532,2343747,0,2343747
3300,Juan Álvarez,41,2317100,6688280307647014,308,4100790,1920715,1920715,0
3301,Lucas Lima,34,615000,7482224650969506,130,1141548,134151,13416,120735
3302,Emiliano Amor,60,4754000,5606059314424594,548,8409939,184596,0,184596
3303,Mads Juel Andersen,29,3989200,9913785668079511,371,6175841,4513323,4514,4508809
3304,Andrés Andrade,66,1277700,4459796207864419,336,3383974,2783726,279,2783447
3305,Fabrizio Angileri,23,4725100,7325888955873515,390,6840620,5687578,0,5687578
3306,Cristian Ansaldi,53,4879800,3741706772042383,581,7917604,1583199,1583199,0
3307,João Correia,23,3528300,8632632893141127,284,5357614,3022495,0,3022495
3308,Barış Atik,63,2872400,9826578469779522,476,5901794,1255399,125540,1129859
3309,Rob Atkinson,68,3347400,8607435083068073,579,7360569,3147248,3147248,0
3310,Mathias Autret,50,695300,7505077066421871,264,2384626,2197355,219736,1977619
3311,Gastón Ávila,45,4537400,3210856429407005,463,7679981,4730502,473051,4257451
3312,Chidozie Awaziem,30,3791700,5395509741409104,348,5834677,3761677,0,3761677
3313,Jean-Sylvain Babin,66,1233800,3451829651881778,362,3726786,2884122,2884122,0
3314,Baek Sung Dong,44,2866900,8645176278345096,393,4916146,3698483,0,3698483
3315,Javier Báez,51,1408900,6330733891092794,320,3344932,1353088,0,1353088
3316,Lewis Baker,68,4657200,7672936322284321,722,9313092,7568309,75684,7492625
3317,George Baldock,66,1178100,8805059242809793,399,4034488,2212774,0,2212774
3318,Daniel Ballard,33,3999000,5867378794361756,395,6840522,3455920,3455920,0
3319,Josepmir Ballón,37,2041700,8127755966419070,280,3588063,508657,508657,0
3320,Leon Balogun,66,1624700,3844821158333652,390,4115797,1779960,17800,1762160
3321,Tudor Băluță,51,983300,9047583701762562,281,2975004,1389875,138988,1250887
3322,Abdoul Kader Bamba,25,2392800,9708369569213260,221,3174582,2206793,2206793,0
3323,Mattia Bani,40,2014500,5461438357732220,257,3620232,3323023,3324,3319699
3324,Valentín Barco,24,3797000,8819450957791032,353,5689946,4174409,41745,4132664
3325,Juan Barinaga,42,1468600,7830420690100222,204,2478378,1077793,10778,1067015
3326,Aymen Barkok,24,1120200,6296109818716400,97,1351669,288764,288764,0
3327,Daniel Barlaser,27,3683600,9099990271427444,370,6037491,4500778,451,4500327
3328,Ashley Barnes,28,4208200,6069609635289767,320,5317219,4881719,0,4881719
3329,Pier Barrios,22,2890200,6969365003926218,242,3957200,3031554,303156,2728398
3330,Daniele Baselli,36,4953700,7501673445532205,462,7544220,6370798,0,6370798
3331,Christian Bassogog,61,1210700,8612805360242502,319,2996969,2894606,28947,2865659
3332,Gil Dias,55,1253800,3678967687199506,344,3337717,181348,1814,179534
3333,Jelle Bataille,22,4766400,7931910910657380,348,6230037,4567931,45680,4522251
3334,Gavin Bazunu,62,3426000,3858271388928870,479,6502106,1085666,1085666,0
3335,Alejandro Bedoya,41,1814900,7918702913767122,260,3154056,808918,0,808918
3336,Felix Beijmo,42,2744000,6182211631087549,362,4879430,4273029,0,4273029
3337,Amari'i Bell,53,829600,9222988987642633,247,2501087,234034,0,234034
3338,Mohamed Ali Ben Romdhane,54,2870700,3996277876973871,471,5714599,3075832,30759,3045073
3339,Sofiane Bendebka,68,1251200,9929196283620034,402,4012477,253573,0,253573
3340,Gaston Benedetti,50,776400,4345442082691063,200,1847910,860660,0,860660
3341,László Bénes,70,3372600,5606478857637861,548,6759821,5430819,54309,5376510
3342,Jessy Benet,59,2382000,6848280620357106,359,4617188,1122609,1123,1121486
3343,Etrit Berisha,22,1897400,5223062068064801,189,2844188,1477838,148,1477690
3344,Veton Berisha,67,2200300,6559231070329873,482,5426362,1593351,1594,1591757
3345,Matteo Bianchetti,57,3396000,9895978668979352,480,6519803,1954768,195477,1759291
3346,Jake Bidwell,65,1432200,5783084686501660,340,3495552,727889,0,727889
3347,Veljko Birmančević,61,660200,3192691962777043,267,2210269,1269175,127,1269048
3348,Alexis Blin,36,2477900,7152403228647601,247,3592876,452265,452265,0
3349,Daniel Bocanegra,26,1273700,5738810949973644,120,1762137,799449,79945,719504
3350,Yann Bodiger,31,1622800,3606081676161897,189,2790154,559353,55936,503417
3351,Emil Bohinen,34,4481500,8423005193304645,451,7085905,5381411,0,5381411
3352,Nicolai Boilesen,32,3883800,9742241669661899,336,5818198,2138913,213892,1925021
3353,Marcos Bolados,66,1267600,6202951638660599,368,3586968,375,375,0
3354,Franck Boli,53,4060700,6761734032366552,479,6717702,2111638,2112,2109526
3355,Enrique Bologna,66,1561800,9158224069906362,371,3720927,3038051,3039,3035012
3356,Federico Bonazzoli,42,2658100,5444688033341600,319,4452783,2482080,248208,2233872
3357,Toni Borevković,23,1587800,6271048604483271,135,2104752,1672683,1672683,0
